Date,DateValue,Open,High,Low,Close,Adj Close,Volume
2010-12-09,40521,541.849976,548.650024,534.049988,536.299988,440.21759,2579902.0
2010-12-10,40522,533.5,541.924988,528.5,537.450012,441.16153,2245624.0
2010-12-13,40525,535.5,540.349976,524.200012,538.049988,441.654022,2115066.0
2010-12-14,40526,536.599976,544.799988,532.075012,540.474976,443.644714,2615340.0
2010-12-15,40527,542.549988,554.200012,540.75,551.825012,452.96106,2572034.0
2010-12-16,40528,554.5,572.0,552.075012,570.349976,468.167358,4515704.0
2010-12-20,40532,567.400024,588.5,557.424988,583.349976,478.837952,4514046.0
2010-12-21,40533,584.5,586.125,577.0,580.400024,476.416748,2810642.0
2010-12-22,40534,583.5,584.5,568.875,574.875,471.881683,3186836.0
2010-12-23,40535,575.0,579.775024,566.049988,570.0,467.879974,2850924.0
2010-12-24,40536,567.0,574.400024,562.875,570.549988,468.331421,1624640.0
2010-12-27,40539,572.5,579.724976,569.099976,570.599976,468.372498,1664936.0
2010-12-28,40540,570.599976,575.450012,570.025024,573.174988,470.486267,1012876.0
2010-12-29,40541,574.5,581.0,573.525024,578.474976,474.836853,1042370.0
2010-12-30,40542,576.25,587.400024,576.25,585.099976,480.27478,3845552.0
2010-12-31,40543,586.25,590.0,580.900024,582.825012,478.407227,1532980.0
2011-01-03,40546,583.5,588.474976,577.275024,579.025024,475.288147,1405042.0
2011-01-04,40547,581.950012,583.075012,569.049988,572.375,469.82959,2502868.0
2011-01-05,40548,572.625,582.950012,570.875,579.474976,475.65744,3069674.0
2011-01-06,40549,584.0,591.0,576.549988,585.849976,480.89032,2846720.0
2011-01-07,40550,588.0,593.424988,569.075012,571.325012,468.967651,2532724.0
2011-01-10,40553,573.75,574.5,560.5,565.450012,464.145111,3952426.0
2011-01-11,40554,561.5,567.775024,543.900024,549.25,450.847626,3768730.0
2011-01-12,40555,554.950012,575.799988,554.0,567.974976,466.217834,3160874.0
2011-01-13,40556,564.474976,577.974976,558.099976,562.125,461.415894,5589198.0
2011-01-14,40557,564.950012,575.0,560.0,560.075012,459.733093,3151692.0
2011-01-17,40560,560.599976,573.275024,560.0,568.700012,466.812744,3000212.0
2011-01-18,40561,587.0,604.450012,582.174988,601.275024,493.55191,8481370.0
2011-01-19,40562,601.724976,604.5,592.5,596.5,489.632355,2952040.0
2011-01-20,40563,590.0,609.375,590.0,606.099976,497.512573,4545208.0
2011-01-21,40564,605.0,610.0,602.0,605.825012,497.286774,2597404.0
2011-01-24,40567,600.0,610.0,599.125,604.599976,496.281189,2016678.0
